site_id,tag,fg_declared,bg_declared,fg_composited,bg_composited,naive_cr,extended_cr,aa_naive,aa_extended,false_pos,false_neg
270,div,"rgb(34, 34, 34)","rgb(255, 255, 255)","rgb(34,34,34)","rgb(255,255,255)",15.91,15.91,1,1,0,0
272,div,"rgb(44, 44, 44)","rgb(226, 0, 116)","rgb(44,44,44)","rgb(226,0,116)",2.98,2.98,0,0,0,0
272,div,"rgb(44, 44, 44)","rgb(56, 56, 56)","rgb(44,44,44)","rgb(56,56,56)",1.19,1.19,0,0,0,0
272,div,"rgb(44, 44, 44)","rgb(255, 255, 255)","rgb(44,44,44)","rgb(255,255,255)",13.97,13.97,1,1,0,0
272,div,"rgb(44, 44, 44)","rgb(203, 228, 244)","rgb(44,44,44)","rgb(203,228,244)",10.6,10.6,1,1,0,0
272,a,"rgb(255, 255, 255)","rgb(226, 0, 116)","rgb(255,255,255)","rgb(226,0,116)",4.68,4.68,1,1,0,0
272,div,"rgb(194, 194, 194)","rgb(56, 56, 56)","rgb(194,194,194)","rgb(56,56,56)",6.58,6.58,1,1,0,0
272,div,"rgb(255, 255, 255)","rgb(38, 38, 38)","rgb(255,255,255)","rgb(38,38,38)",15.13,15.13,1,1,0,0
276,div,"rgba(255, 255, 255, 0.92)","rgb(22, 22, 23)","rgb(236,236,236)","rgb(22,22,23)",18.08,15.36,1,1,0,0
276,a,"rgb(0, 0, 0)","rgb(245, 245, 247)","rgb(0,0,0)","rgb(245,245,247)",19.29,19.29,1,1,0,0
276,div,"rgb(29, 29, 31)","rgba(29, 29, 31, 0.8)","rgb(29,29,31)","rgb(74,74,76)",1,1.91,0,0,0,0
276,div,"rgb(29, 29, 31)","rgb(0, 0, 0)","rgb(29,29,31)","rgb(0,0,0)",1.25,1.25,0,0,0,0
276,a,"rgb(255, 255, 255)","rgb(0, 113, 227)","rgb(255,255,255)","rgb(0,113,227)",4.7,4.7,1,1,0,0
276,div,"rgb(29, 29, 31)","rgb(245, 245, 247)","rgb(29,29,31)","rgb(245,245,247)",15.46,15.46,1,1,0,0
276,a,"rgb(41, 151, 255)","rgb(0, 0, 0)","rgb(41,151,255)","rgb(0,0,0)",6.96,6.96,1,1,0,0
276,div,"rgb(41, 151, 255)","rgb(244, 248, 251)","rgb(41,151,255)","rgb(244,248,251)",2.82,2.82,0,0,0,0
276,div,"rgb(41, 151, 255)","rgb(39, 24, 16)","rgb(41,151,255)","rgb(39,24,16)",5.69,5.69,1,1,0,0
